Rk,Player,Pos,Age,Tm,G,MP,PER?,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Salary,Cost/Minute,Cost/PER,Cost/USG
111,Khris Middleton\middlkh01,SG,24,MIL,79,2852,16.8,0.56,0.316,0.273,1.8,10.2,6,18.9,2.3,0.6,12.3,23,4.3,1.8,6.1,0.103,2.2,-1.6,0.6,1.9,15200000,5329.593268,904761.9048,660869.5652
112,Dwight Powell\poweldw01,PF,24,DAL,69,992,16.8,0.557,0.054,0.48,9.3,20.9,15.1,7.2,1.8,2,10,18.4,1.8,1.3,3.1,0.151,-1.3,1,-0.3,0.4,8375000,8442.540323,498511.9048,455163.0435
113,Marvin Williams\willima02,PF,29,CHO,81,2338,16.8,0.585,0.506,0.193,5.9,18.6,12.2,7.6,1.2,2.7,7.1,16.8,4.7,3.2,7.8,0.161,1.7,1,2.7,2.7,12250000,5239.520958,729166.6667,729166.6667
114,Victor Oladipo\oladivi01,SG,23,ORL,72,2379,16.7,0.534,0.291,0.255,2.2,14,8,18.6,2.4,1.9,12.4,22.9,2.2,2.7,4.9,0.099,1,0.8,1.8,2.3,6552960,2754.501892,392392.8144,286155.4585
115,Jared Sullinger\sullija01,PF,23,BOS,81,1915,16.7,0.476,0.128,0.2,10.6,27,18.7,15.5,1.9,1.9,10.4,21.8,1.3,3.6,4.8,0.121,-1.2,2.3,1.1,1.5,5628000,2938.903394,337005.988,258165.1376
116,Ian Mahinmi\mahinia01,C,29,IND,71,1816,16.6,0.603,0,0.502,8.3,22.1,15.3,8.9,1.8,3.3,15.5,15.7,2.9,3.3,6.2,0.163,-0.9,3.3,2.4,2,15944154,8779.820485,960491.2048,1015551.21
117,Andrew Wiggins\wiggian01,SF,20,MIN,81,2845,16.5,0.543,0.147,0.437,4.4,7.5,6,10.1,1.4,1.3,10.6,27.2,3.4,0.7,4.1,0.069,0.4,-2.5,-2.1,-0.1,6006600,2111.282953,364036.3636,220830.8824
118,Jordan Hill\hilljo01,C,28,IND,73,1513,16.4,0.534,0.002,0.228,11.3,21.2,16.3,9.5,1.2,2,13.2,20.3,1.6,2.3,3.9,0.124,-1.7,0.9,-0.7,0.5,3911380,2585.181758,238498.7805,192678.8177
119,Christian Wood\woodch01,PF,20,PHI,17,145,16.4,0.49,0.208,0.396,9.4,19.4,14.3,3.5,1.7,3.7,3.1,19.4,0.2,0.1,0.3,0.097,-2.9,-1.6,-4.5,-0.1,874636,6031.972414,53331.46341,45084.3299
120,Kelly Olynyk\olynyke01,C,24,BOS,69,1395,16.3,0.561,0.378,0.23,5.4,16.2,10.7,11.9,1.8,1.8,10.8,20.9,2.1,2,4.1,0.141,0.8,0.4,1.2,1.1,3094014,2217.931183,189816.8098,148038.9474
